Book,Peak Week,Peak Month,Peak Sales,Peak Week Range
The Very Busy Spider's Forest Friends: a Touch-And-Feel Book,2023-12-23,December,2383.0,Dec 17 2023 - Dec 23 2023
I Love Grandma With the Very Hungry Caterpillar,2024-05-11,May,3516.0,May 05 2024 - May 11 2024
The Very Hungry Caterpillar Loves [your Name Here]!: a Personalized Story Book,2024-02-10,February,6252.0,Feb 04 2024 - Feb 10 2024
The Very Hungry Caterpillar's Peekaboo Easter,2024-03-30,March,11189.0,Mar 24 2024 - Mar 30 2024
Bear Hugs! from Brown Bear and Friends (World of Eric Carle),2024-02-03,February,4053.0,Jan 28 2024 - Feb 03 2024
I Love Grandpa With the Very Hungry Caterpillar,2024-06-15,June,4036.0,Jun 09 2024 - Jun 15 2024
The Very Hungry Caterpillar's Rainbow Colors,2024-06-29,June,1277.0,Jun 23 2024 - Jun 29 2024
Bear Hugs! from Brown Bear and Friends (World of Eric Carle) Oversize Edition,2024-01-20,January,3789.0,Jan 14 2024 - Jan 20 2024
The Very Hungry Caterpillar's Garden Friends: a Touch-And-Feel Book,2023-06-03,June,1159.0,May 28 2023 - Jun 03 2023
Spring Sings For the Grouchy Ladybug,2023-04-08,April,2226.0,Apr 02 2023 - Apr 08 2023
